Date,Time,Transaction Details,Transaction ID,UTR No,Type,Amount,Category,Year,Month
"Jun 01, 2024",03:12 PM,Paid to TAPAS RANJAN PATRA,T2406011512271538836577,451958877006,Debit,17.0,Personal Transfers,2024,2024-06
"Jun 03, 2024",10:09 AM,Paid to Samadh,T2406031009483791954666,452173056342,Debit,550.0,Personal Transfers,2024,2024-06
"Jun 03, 2024",03:53 PM,Paid to Bakery Fressh & Crissp,AC222406031553250598483789,452100506564,Debit,60.0,Food & Dining,2024,2024-06
"Jun 04, 2024",03:55 PM,Paid to EKART,T2406041555406139817850,452218665381,Debit,554.0,Shopping & E-Commerce,2024,2024-06
"Jun 07, 2024",02:30 PM,Paid to QUICK PICK COFFEE,T2406071430441945147841,415910388902,Debit,4.0,Food & Dining,2024,2024-06
"Jun 07, 2024",05:19 PM,Paid to SRI NEEVI MASS COOL DRINKS,T2406071719000760195118,415911844532,Debit,20.0,Food & Dining,2024,2024-06
"Jun 07, 2024",05:48 PM,Paid to **\*\***6698,T2406071748252989438148,452564684220,Debit,40.0,Personal Transfers,2024,2024-06
"Jun 07, 2024",07:09 PM,Paid to PONLAIT CHILLZ 54 17,T2406071909507478972300,415927555968,Debit,25.0,Food & Dining,2024,2024-06
"Jun 07, 2024",07:25 PM,Paid to KANNAMMA FRUIT SHOP,AC222406071925559906291458,452530727860,Debit,100.0,Food & Dining,2024,2024-06
"Jun 07, 2024",08:57 PM,Paid to AMMAN FRUITS VEGETABLES,T2406072057519309950939,415964523218,Debit,60.0,Food & Dining,2024,2024-06
"Jun 08, 2024",04:52 PM,Paid to MILON JUICE SHOP,T2406081652299726946163,416085963611,Debit,150.0,Food & Dining,2024,2024-06
"Jun 08, 2024",04:59 PM,Paid to DHARMAA SERVICE STATION,T2406081659409624021311,416076401480,Debit,60.0,Personal Transfers,2024,2024-06
"Jun 08, 2024",05:45 PM,Paid to NEW SCHOOL CRAFT,T2406081744578342371796,416018340034,Debit,80.0,Personal Transfers,2024,2024-06
"Jun 09, 2024",03:22 AM,Paid to User,T2406090322274370232753,452721660981,Debit,60.0,Personal Transfers,2024,2024-06
"Jun 09, 2024",04:19 PM,Paid to Sri Ganga Store,AC222406091619312156924905,452794826333,Debit,50.0,Food & Dining,2024,2024-06
"Jun 09, 2024",04:49 PM,Paid to City Store,AC222406091649251449548832,452753788193,Debit,100.0,Food & Dining,2024,2024-06
"Jun 09, 2024",07:32 PM,Paid to SBM STORE,AC222406091932529356856392,452703926909,Debit,30.0,Food & Dining,2024,2024-06
"Jun 09, 2024",09:02 PM,Paid to VIRUTHAI STAR RESTAURANT,T2406092102535179862745,416158946661,Debit,80.0,Food & Dining,2024,2024-06
"Jun 10, 2024",07:21 AM,Paid to RADHAKRISHNAN R,T2406100721410175302145,416277188555,Debit,1500.0,Personal Transfers,2024,2024-06
"Jun 10, 2024",04:27 PM,Paid to **\*\***5143,T2406101627485818664683,452888176995,Debit,60.0,Personal Transfers,2024,2024-06
"Jun 10, 2024",06:55 PM,Paid to Manu,T2406101855163582502036,416264756529,Debit,130.0,Personal Transfers,2024,2024-06
"Jun 11, 2024",04:27 PM,Paid to **\*\***7914,T2406111627431713432682,452944448001,Debit,1200.0,Personal Transfers,2024,2024-06
