Category,Total_Spent,Transaction_Count,Avg_Transaction,Median_Transaction,Max_Transaction,Min_Transaction,Pct_of_Total
Personal Transfers,413386.1,768,538.2631510416667,60.0,24164.0,1.0,52.6
Investment,204036.0,41,4976.487804878048,3987.0,14410.0,100.0,26.0
Shopping & E-Commerce,62911.29,59,1066.2930508474576,665.0,5395.0,1.0,8.0
Bank Transfer,25001.0,2,12500.5,12500.5,25000.0,1.0,3.2
Food & Dining,22701.34,253,89.72861660079052,60.0,1600.0,4.0,2.9
Groceries & Essentials,20326.5,265,76.70377358490566,50.0,1037.0,4.0,2.6
Travel & Stays,12386.1,6,2064.35,1789.525,4788.0,440.0,1.6
Transport & Fuel,7109.4,441,16.121088435374148,6.0,300.0,1.0,0.9
Credit Card Payment,5181.0,1,5181.0,5181.0,5181.0,5181.0,0.7
Subscriptions & Digital,5104.97,19,268.6826315789474,307.0,1499.0,1.0,0.6
Mobile Recharge,5035.0,21,239.76190476190476,195.0,479.0,19.0,0.6
Personal Care,1800.0,4,450.0,500.0,700.0,100.0,0.2
Medical & Health,931.0,18,51.72222222222222,35.0,188.0,6.0,0.1
