Month,Total_Spent,Transaction_Count,Avg_Transaction,Unique_Payees
2024-06,10239.99,42,243.80928571428572,40
2024-07,12213.05,32,381.6578125,22
2024-08,11248.4,36,312.4555555555555,26
2024-09,9665.0,27,357.962962962963,23
2024-10,10997.68,23,478.16,23
2024-11,11054.0,31,356.5806451612903,26
2024-12,15440.0,39,395.8974358974359,32
2025-01,35492.0,58,611.9310344827586,38
2025-02,21223.1,57,372.3350877192982,37
2025-03,21681.0,67,323.5970149253731,52
2025-04,18576.0,67,277.25373134328356,40
2025-05,18146.99,72,252.0415277777778,52
2025-06,35083.0,86,407.9418604651163,59
2025-07,17843.0,96,185.86458333333334,62
2025-08,14171.0,65,218.01538461538462,50
2025-09,76637.25,128,598.728515625,99
2025-10,54640.92,102,535.695294117647,79
2025-11,39687.0,89,445.92134831460675,56
2025-12,70845.0,114,621.4473684210526,84
2026-01,97364.33,125,778.91464,82
2026-02,69526.0,96,724.2291666666666,54
2026-03,67554.05,98,689.3270408163265,84
2026-04,25134.5,120,209.45416666666668,57
2026-05,8713.44,87,100.1544827586207,35
2026-06,9674.0,84,115.16666666666667,32
2026-07,3059.0,57,53.666666666666664,20
